172.104.242.173 - - [15/Feb/2025:15:22:13 +0300] "9\xCD\xC3V\x8C&\x12Dz/\xB7\xC0t\x96C\xE2" 400 173 "-" "-"rt=0.010 uct="-" uht="-" urt="-"
54.208.102.37 - - [15/Feb/2025:15:23:59 +0300] "GET / HTTP/1.1" 301 185 "http://dbadmins.ru/" "Mozilla/5.0 (compatible; DuckDuckGo-Favicons-Bot/1.0; +http://duckduckgo.com)"rt=0.000 uct="-" uht="-" urt="-"
54.208.102.37 - - [15/Feb/2025:15:24:00 +0300] "GET / HTTP/1.1" 200 14475 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; DuckDuckGo-Favicons-Bot/1.0; +http://duckduckgo.com)"rt=0.273 uct="0.000" uht="0.188" urt="0.273"
54.208.102.37 - - [15/Feb/2025:15:24:00 +0300] "GET /favicon.ico HTTP/1.1" 200 7358 "https://dbadmins.ru/favicon.ico" "Mozilla/5.0 (compatible; DuckDuckGo-Favicons-Bot/1.0; +http://duckduckgo.com)"rt=0.000 uct="-" uht="-" urt="-"
87.250.233.75 - - [15/Feb/2025:15:24:32 +0300] "GET / HTTP/1.1" 301 185 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)"rt=0.000 uct="-" uht="-" urt="-"
87.250.233.68 - - [15/Feb/2025:15:24:32 +0300] "GET / HTTP/1.1" 200 14475 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)"rt=0.263 uct="0.000" uht="0.180" urt="0.263"
93.158.167.130 - - [15/Feb/2025:15:31:56 +0300] "GET / HTTP/1.1" 404 169 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)"rt=0.000 uct="-" uht="-" urt="-"
167.86.96.137 - - [15/Feb/2025:15:31:58 +0300] "GET /wp-login.php HTTP/1.1" 200 1338 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.204 uct="0.000" uht="0.204" urt="0.204"
167.86.96.137 - - [15/Feb/2025:15:31:58 +0300] "POST /wp-login.php HTTP/1.1" 200 1721 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.212 uct="0.000" uht="0.193" urt="0.193"
167.86.96.137 - - [15/Feb/2025:15:31:58 +0300] "POST /xmlrpc.php HTTP/1.1" 200 292 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.259 uct="0.000" uht="0.245" urt="0.245"
5.255.251.4 - - [15/Feb/2025:15:38:25 +0300] "GET / HTTP/1.1" 301 185 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)"rt=0.000 uct="-" uht="-" urt="-"
93.158.167.130 - - [15/Feb/2025:15:38:25 +0300] "GET / HTTP/1.1" 200 14475 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)"rt=0.274 uct="0.000" uht="0.189" urt="0.274"
209.17.96.74 - - [15/Feb/2025:15:44:04 +0300] "GET / HTTP/1.1" 301 5 "-" "Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)"rt=0.185 uct="0.000" uht="0.185" urt="0.185"
77.247.110.165 - - [15/Feb/2025:15:44:18 +0300] "HEAD /robots.txt HTTP/1.0" 404 0 "-" "-"rt=0.017 uct="-" uht="-" urt="-"
103.111.52.54 - - [15/Feb/2025:15:50:24 +0300] "GET /wp-login.php HTTP/1.1" 200 1338 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.199 uct="0.000" uht="0.199" urt="0.199"
103.111.52.54 - - [15/Feb/2025:15:50:26 +0300] "POST /wp-login.php HTTP/1.1" 200 1721 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.478 uct="0.000" uht="0.191" urt="0.191"
103.111.52.54 - - [15/Feb/2025:15:50:27 +0300] "POST /xmlrpc.php HTTP/1.1" 200 292 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.542 uct="0.000" uht="0.248" urt="0.248"
87.250.233.68 - - [15/Feb/2025:16:00:37 +0300] "GET / HTTP/1.1" 404 169 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)"rt=0.000 uct="-" uht="-" urt="-"
46.229.168.153 - - [15/Feb/2025:16:01:54 +0300] "GET /robots.txt HTTP/1.1" 200 208 "-" "Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)"rt=0.000 uct="-" uht="-" urt="-"
62.75.198.172 - - [15/Feb/2025:16:01:55 +0300] "POST /wp-cron.php?doing_wp_cron=1565816515.1302280426025390625000 HTTP/1.1" 200 31 "https://dbadmins.ru/wp-cron.php?doing_wp_cron=1565816515.1302280426025390625000" "WordPress/5.0.4; https://dbadmins.ru"rt=0.329 uct="0.000" uht="0.329" urt="0.329"
46.229.168.161 - - [15/Feb/2025:16:01:55 +0300] "GET /tag/pdb/ HTTP/1.1" 200 12024 "-" "Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)"rt=0.767 uct="0.000" uht="0.689" urt="0.767"
5.44.173.80 - - [15/Feb/2025:16:09:20 +0300] "GET / HTTP/1.1" 200 3698 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"rt=0.000 uct="-" uht="-" urt="-"
137.74.1.112 - - [15/Feb/2025:16:22:23 +0300] "GET /wp-login.php HTTP/1.1" 200 1338 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.201 uct="0.000" uht="0.201" urt="0.201"
137.74.1.112 - - [15/Feb/2025:16:22:24 +0300] "POST /wp-login.php HTTP/1.1" 200 1721 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.218 uct="0.000" uht="0.194" urt="0.194"
137.74.1.112 - - [15/Feb/2025:16:22:24 +0300] "POST /xmlrpc.php HTTP/1.1" 200 292 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.266 uct="0.000" uht="0.242" urt="0.242"
182.254.243.249 - - [15/Feb/2025:16:24:38 +0300] "PROPFIND / HTTP/1.1" 405 173 "-" "-"rt=0.214 uct="-" uht="-" urt="-"
182.254.243.249 - - [15/Feb/2025:16:24:38 +0300] "GET /webdav/ HTTP/1.1" 404 3652 "-" "Mozilla/5.0"rt=0.222 uct="-" uht="-" urt="-"
66.249.64.204 - - [15/Feb/2025:16:25:46 +0300] "GET / HTTP/1.1" 200 14446 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"rt=0.270 uct="0.000" uht="0.185" urt="0.270"
